OrderID,OrderDate,Market,Country,ISO3,Segment,Category,SubCategory,Quantity,Discount,Sales,Profit
ORD-101616,2021-01-11,US,United States,USA,Consumer,Office Supplies,Labels,8,0.0,70.72,17.92
ORD-114248,2021-01-11,Europe,Germany,DEU,Home Office,Office Supplies,Appliances,8,0.0,2708.8,174.01
ORD-109950,2021-01-11,Europe,Italy,ITA,Corporate,Furniture,Tables,8,0.1,3560.24,-738.69
ORD-117396,2021-01-11,US,Canada,CAN,Consumer,Furniture,Tables,6,0.1,5649.66,-438.99
ORD-104772,2021-01-11,US,United States,USA,Consumer,Office Supplies,Appliances,1,0.0,372.42,35.57
ORD-103178,2021-01-11,Africa,Nigeria,NGA,Consumer,Technology,Machines,2,0.2,2064.54,-301.06
ORD-101313,2021-01-11,US,United States,USA,Home Office,Technology,Phones,3,0.0,4138.71,472.49
ORD-119255,2021-01-11,US,United States,USA,Corporate,Furniture,Bookcases,1,0.2,309.9,-11.07
ORD-105227,2021-01-11,APAC,India,IND,Corporate,Technology,Accessories,3,0.1,49.14,6.67
ORD-100646,2021-01-11,APAC,Singapore,SGP,Corporate,Furniture,Bookcases,5,0.2,3553.85,180.07
ORD-113034,2021-01-11,US,United States,USA,Consumer,Furniture,Bookcases,3,0.2,677.31,-3.22
ORD-119697,2021-01-12,Africa,Nigeria,NGA,Consumer,Furniture,Furnishings,3,0.0,589.77,65.07
ORD-118589,2021-01-12,APAC,China,CHN,Consumer,Furniture,Chairs,6,0.0,640.14,53.46
ORD-107928,2021-01-12,Europe,Germany,DEU,Consumer,Technology,Phones,5,0.1,5508.75,764.38
ORD-100774,2021-01-12,APAC,China,CHN,Consumer,Furniture,Bookcases,7,0.3,4019.19,-665.14
ORD-115798,2021-01-12,US,United States,USA,Corporate,Furniture,Tables,1,0.1,657.62,-52.03
ORD-102298,2021-01-12,US,Canada,CAN,Consumer,Technology,Machines,3,0.3,2165.76,-359.99
ORD-118735,2021-01-12,LATAM,Argentina,ARG,Consumer,Furniture,Furnishings,4,0.0,494.68,54.69
ORD-103037,2021-01-12,APAC,Japan,JPN,Consumer,Office Supplies,Paper,2,0.0,82.94,19.88
ORD-111674,2021-01-13,Europe,Germany,DEU,Consumer,Office Supplies,Storage,6,0.1,657.3,28.04
ORD-107012,2021-01-13,Europe,France,FRA,Consumer,Office Supplies,Storage,8,0.1,1572.88,61.81
ORD-106127,2021-01-13,Europe,United Kingdom,GBR,Corporate,Technology,Phones,7,0.1,1917.79,66.96
ORD-115356,2021-01-13,US,United States,USA,Home Office,Furniture,Chairs,5,0.0,1784.45,117.7
ORD-109685,2021-01-13,US,United States,USA,Home Office,Office Supplies,Binders,7,0.0,281.61,46.25
ORD-101322,2021-01-13,APAC,Japan,JPN,Corporate,Furniture,Bookcases,7,0.1,4024.23,13.3
ORD-111459,2021-01-13,Europe,Italy,ITA,Consumer,Office Supplies,Paper,8,0.2,258.16,17.69
ORD-118871,2021-01-13,Europe,France,FRA,Consumer,Furniture,Furnishings,6,0.0,761.46,92.48
ORD-108632,2021-01-13,Europe,United Kingdom,GBR,Home Office,Technology,Machines,3,0.3,2742.99,-347.59
ORD-100422,2021-01-13,APAC,China,CHN,Corporate,Furniture,Tables,4,0.3,3632.56,-925.76
ORD-106988,2021-01-13,LATAM,Mexico,MEX,Consumer,Furniture,Tables,8,0.0,4407.36,-510.85
ORD-109817,2021-01-13,Europe,Italy,ITA,Home Office,Office Supplies,Art,1,0.0,36.34,3.32
ORD-106041,2021-01-14,Europe,United Kingdom,GBR,Consumer,Technology,Copiers,8,0.1,3101.52,238.09
ORD-119325,2021-01-14,US,United States,USA,Corporate,Office Supplies,Labels,2,0.0,56.86,14.57
ORD-107175,2021-01-14,Europe,Germany,DEU,Corporate,Office Supplies,Paper,3,0.1,74.07,13.54
ORD-105450,2021-01-14,US,United States,USA,Home Office,Furniture,Tables,1,0.1,231.52,-19.2
ORD-116824,2021-01-14,US,United States,USA,Home Office,Technology,Phones,7,0.3,7366.17,23.9
ORD-107202,2021-01-14,Europe,United Kingdom,GBR,Home Office,Office Supplies,Binders,4,0.0,42.68,5.88
ORD-115766,2021-01-14,Europe,France,FRA,Consumer,Technology,Copiers,2,0.0,3876.84,739.14
ORD-117283,2021-01-14,Africa,Egypt,EGY,Corporate,Technology,Machines,1,0.2,2187.58,-416.65
ORD-117412,2021-01-14,APAC,China,CHN,Consumer,Office Supplies,Labels,7,0.0,135.52,23.52
ORD-114807,2021-01-14,Europe,Italy,ITA,Consumer,Furniture,Chairs,7,0.4,4170.81,-632.62
ORD-117690,2021-01-14,US,United States,USA,Corporate,Office Supplies,Labels,7,0.0,161.84,37.08
ORD-116087,2021-01-14,Europe,Netherlands,NLD,Home Office,Technology,Machines,6,0.0,1620.06,59.41
ORD-114779,2021-01-14,US,United States,USA,Consumer,Technology,Copiers,8,0.1,13470.72,2075.76
ORD-117905,2021-01-14,Europe,United Kingdom,GBR,Home Office,Office Supplies,Art,5,0.1,79.85,3.53
ORD-118787,2021-01-14,Europe,Germany,DEU,Consumer,Office Supplies,Paper,4,0.4,87.92,-1.83
ORD-114350,2021-01-14,APAC,India,IND,Consumer,Technology,Accessories,4,0.3,738.24,-27.71
ORD-105423,2021-01-15,Europe,Germany,DEU,Corporate,Office Supplies,Paper,3,0.3,83.73,2.07
ORD-104774,2021-01-15,LATAM,Brazil,BRA,Corporate,Technology,Accessories,4,0.0,910.28,52.18
ORD-108499,2021-01-15,APAC,Australia,AUS,Consumer,Furniture,Tables,2,0.0,1649.18,16.88
ORD-104155,2021-01-15,US,United States,USA,Home Office,Furniture,Furnishings,6,0.0,244.68,46.79
ORD-113030,2021-01-15,US,United States,USA,Corporate,Office Supplies,Labels,8,0.2,42.08,5.57
ORD-118563,2021-01-15,APAC,Australia,AUS,Consumer,Technology,Accessories,6,0.0,874.08,188.9
ORD-109214,2021-01-15,US,United States,USA,Home Office,Furniture,Furnishings,8,0.3,218.8,-12.51
ORD-114809,2021-01-16,US,United States,USA,Home Office,Furniture,Furnishings,4,0.0,575.04,94.4
ORD-103462,2021-01-16,Europe,United Kingdom,GBR,Consumer,Furniture,Tables,8,0.2,6351.28,-916.59
ORD-119562,2021-01-16,US,United States,USA,Corporate,Office Supplies,Appliances,7,0.3,1699.95,-212.94
ORD-113636,2021-01-16,US,United States,USA,Corporate,Office Supplies,Paper,6,0.3,81.72,3.81
ORD-107121,2021-01-16,APAC,India,IND,Consumer,Furniture,Furnishings,1,0.4,98.92,-11.03
ORD-116624,2021-01-16,Europe,Netherlands,NLD,Consumer,Furniture,Furnishings,8,0.0,1436.48,131.93
ORD-118319,2021-01-16,APAC,Singapore,SGP,Home Office,Furniture,Tables,2,0.1,1598.46,-119.89
ORD-108922,2021-01-17,Europe,France,FRA,Consumer,Furniture,Bookcases,2,0.2,1700.2,-68.95
ORD-113141,2021-01-17,APAC,India,IND,Consumer,Technology,Accessories,4,0.0,586.36,48.67
ORD-119711,2021-01-17,APAC,India,IND,Consumer,Office Supplies,Storage,2,0.1,567.4,-24.98
ORD-103438,2021-01-17,Europe,Italy,ITA,Home Office,Office Supplies,Paper,5,0.2,193.45,13.37
ORD-104990,2021-01-17,Middle East,United Arab Emirates,ARE,Corporate,Technology,Copiers,1,0.0,613.47,103.75
ORD-107549,2021-01-17,APAC,Australia,AUS,Consumer,Furniture,Bookcases,6,0.1,2640.72,110.27
ORD-100594,2021-01-18,Europe,France,FRA,Consumer,Furniture,Furnishings,7,0.2,612.5,8.86
ORD-119516,2021-01-18,US,United States,USA,Home Office,Technology,Phones,2,0.1,2347.1,212.37
ORD-110333,2021-01-18,APAC,China,CHN,Consumer,Furniture,Furnishings,1,0.0,149.24,16.19
ORD-104280,2021-01-18,US,Canada,CAN,Consumer,Furniture,Tables,8,0.0,3465.2,-403.38
ORD-101100,2021-01-18,US,United States,USA,Corporate,Furniture,Furnishings,5,0.0,773.85,95.36
ORD-118061,2021-01-18,APAC,Japan,JPN,Consumer,Office Supplies,Binders,1,0.1,69.07,10.72
ORD-100051,2021-01-18,APAC,Japan,JPN,Home Office,Office Supplies,Art,6,0.0,53.16,9.87
ORD-102921,2021-01-18,US,Canada,CAN,Consumer,Office Supplies,Labels,7,0.3,70.98,5.38
ORD-105030,2021-01-18,APAC,Singapore,SGP,Corporate,Office Supplies,Appliances,4,0.1,1222.64,50.73
ORD-108541,2021-01-18,US,United States,USA,Consumer,Office Supplies,Appliances,3,0.0,1071.87,110.64
ORD-109719,2021-01-19,APAC,India,IND,Consumer,Office Supplies,Labels,5,0.3,144.05,2.36
ORD-118131,2021-01-19,US,United States,USA,Consumer,Office Supplies,Binders,5,0.2,81.6,5.38
ORD-114086,2021-01-19,APAC,China,CHN,Corporate,Furniture,Furnishings,6,0.3,1049.82,-90.4
ORD-108430,2021-01-19,US,Canada,CAN,Consumer,Office Supplies,Storage,3,0.4,137.55,-14.82
ORD-110140,2021-01-19,Europe,France,FRA,Home Office,Office Supplies,Paper,3,0.1,95.4,10.46
ORD-119275,2021-01-20,Europe,France,FRA,Consumer,Office Supplies,Appliances,6,0.0,2760.84,117.7
ORD-110146,2021-01-20,APAC,China,CHN,Home Office,Technology,Copiers,1,0.2,704.57,-6.05
ORD-106743,2021-01-20,Europe,Netherlands,NLD,Consumer,Furniture,Bookcases,8,0.1,2624.4,70.12
ORD-108740,2021-01-20,Europe,Netherlands,NLD,Home Office,Technology,Phones,6,0.1,827.4,21.14
ORD-111785,2021-01-20,Europe,France,FRA,Home Office,Office Supplies,Storage,8,0.2,1341.04,-5.72
ORD-117517,2021-01-20,Europe,Italy,ITA,Home Office,Technology,Copiers,6,0.2,3242.4,21.69
ORD-113618,2021-01-21,APAC,Australia,AUS,Consumer,Furniture,Bookcases,8,0.2,4696.64,146.67
ORD-108293,2021-01-21,Europe,Netherlands,NLD,Consumer,Office Supplies,Paper,5,0.2,109.05,7.15
ORD-109004,2021-01-21,LATAM,Argentina,ARG,Consumer,Office Supplies,Storage,1,0.3,117.63,-20.14
ORD-107574,2021-01-21,Europe,Netherlands,NLD,Consumer,Technology,Machines,6,0.0,1813.38,-11.91
ORD-102383,2021-01-21,APAC,India,IND,Consumer,Office Supplies,Storage,1,0.1,210.91,-3.29
ORD-108076,2021-01-21,APAC,Japan,JPN,Corporate,Office Supplies,Art,7,0.0,157.92,22.94
ORD-111166,2021-01-21,Europe,United Kingdom,GBR,Consumer,Office Supplies,Labels,3,0.0,53.31,13.94
ORD-109835,2021-01-21,Europe,France,FRA,Consumer,Office Supplies,Paper,8,0.3,115.44,-1.04
ORD-117862,2021-01-21,US,Canada,CAN,Home Office,Office Supplies,Binders,4,0.0,295.44,48.05
ORD-115035,2021-01-21,US,Canada,CAN,Consumer,Office Supplies,Storage,7,0.1,1902.18,35.3
ORD-105921,2021-01-22,Europe,France,FRA,Corporate,Technology,Machines,6,0.1,10129.68,227.8
ORD-110210,2021-01-22,APAC,Australia,AUS,Corporate,Furniture,Furnishings,8,0.0,1461.92,194.43
ORD-100765,2021-01-22,Middle East,Saudi Arabia,SAU,Home Office,Technology,Phones,1,0.2,784.8,21.4
ORD-116343,2021-01-22,Europe,Italy,ITA,Home Office,Furniture,Furnishings,4,0.0,172.84,7.71
ORD-104965,2021-01-22,APAC,China,CHN,Consumer,Technology,Copiers,5,0.0,5432.5,469.68
ORD-113829,2021-01-22,US,United States,USA,Corporate,Furniture,Tables,6,0.3,3617.94,-794.26
ORD-119355,2021-01-22,APAC,China,CHN,Consumer,Office Supplies,Art,5,0.0,124.3,10.0
ORD-114239,2021-01-23,US,United States,USA,Corporate,Furniture,Furnishings,7,0.4,409.36,-32.23
ORD-107434,2021-01-23,Europe,Germany,DEU,Consumer,Furniture,Chairs,5,0.0,1903.0,346.6
ORD-115419,2021-01-23,Africa,Nigeria,NGA,Consumer,Technology,Phones,5,0.0,5569.55,248.38
ORD-118616,2021-01-23,Africa,South Africa,ZAF,Consumer,Furniture,Chairs,7,0.0,3527.02,231.2
ORD-112636,2021-01-23,LATAM,Mexico,MEX,Corporate,Office Supplies,Storage,2,0.0,443.38,21.04
ORD-105593,2021-01-23,Europe,Spain,ESP,Consumer,Office Supplies,Labels,1,0.2,19.45,2.08
ORD-103376,2021-01-24,LATAM,Mexico,MEX,Consumer,Furniture,Furnishings,6,0.0,978.78,69.6
ORD-106012,2021-01-24,LATAM,Brazil,BRA,Consumer,Office Supplies,Appliances,4,0.3,1595.24,-229.99
ORD-109965,2021-01-24,APAC,India,IND,Consumer,Office Supplies,Appliances,7,0.2,623.56,-26.62
ORD-109616,2021-01-24,US,United States,USA,Corporate,Furniture,Tables,7,0.0,7608.86,40.89
ORD-117239,2021-01-24,Europe,Netherlands,NLD,Corporate,Furniture,Furnishings,4,0.0,654.88,116.15
ORD-113198,2021-01-24,APAC,Australia,AUS,Corporate,Office Supplies,Binders,6,0.2,91.2,3.32
ORD-106609,2021-01-24,Europe,United Kingdom,GBR,Consumer,Office Supplies,Binders,8,0.0,266.72,40.3
ORD-117294,2021-01-25,LATAM,Brazil,BRA,Home Office,Office Supplies,Art,5,0.0,87.9,8.17
ORD-119774,2021-01-25,Middle East,Saudi Arabia,SAU,Corporate,Furniture,Furnishings,6,0.0,680.1,110.98
ORD-105624,2021-01-25,Europe,Netherlands,NLD,Consumer,Furniture,Bookcases,1,0.0,635.67,64.16
ORD-110114,2021-01-25,Europe,Spain,ESP,Corporate,Furniture,Chairs,2,0.3,676.36,-50.05
ORD-117270,2021-01-25,US,United States,USA,Corporate,Office Supplies,Art,1,0.2,17.26,-0.18
ORD-107099,2021-01-25,Europe,Germany,DEU,Corporate,Office Supplies,Labels,1,0.2,16.57,2.28
ORD-109892,2021-01-25,APAC,India,IND,Consumer,Technology,Machines,7,0.0,9273.6,-86.0
ORD-114880,2021-01-25,APAC,China,CHN,Home Office,Technology,Machines,7,0.1,9072.42,-576.19
ORD-113783,2021-01-25,APAC,China,CHN,Corporate,Office Supplies,Art,6,0.0,324.96,28.91
ORD-117942,2021-01-26,US,United States,USA,Corporate,Technology,Accessories,6,0.4,1312.68,-40.77
ORD-100534,2021-01-26,Europe,France,FRA,Consumer,Office Supplies,Storage,1,0.0,178.4,21.02
ORD-102393,2021-01-26,US,United States,USA,Corporate,Office Supplies,Labels,8,0.0,92.72,18.96
ORD-110126,2021-01-26,Europe,United Kingdom,GBR,Consumer,Technology,Machines,5,0.1,10827.2,-7.43
ORD-118957,2021-01-26,LATAM,Mexico,MEX,Consumer,Furniture,Furnishings,3,0.0,476.88,71.5
ORD-111308,2021-01-26,US,United States,USA,Consumer,Office Supplies,Binders,6,0.3,172.68,8.64
ORD-112423,2021-01-26,APAC,Australia,AUS,Consumer,Office Supplies,Paper,1,0.4,42.16,0.59
ORD-117577,2021-01-26,APAC,India,IND,Consumer,Technology,Phones,8,0.0,9551.84,597.96
ORD-113294,2021-01-26,APAC,India,IND,Consumer,Furniture,Bookcases,2,0.1,999.6,18.52
ORD-104837,2021-01-26,LATAM,Brazil,BRA,Consumer,Technology,Phones,7,0.4,8656.48,-1392.84
ORD-101910,2021-01-26,APAC,Japan,JPN,Consumer,Office Supplies,Binders,7,0.2,182.0,9.77
ORD-116901,2021-01-26,US,United States,USA,Consumer,Office Supplies,Paper,3,0.3,90.0,5.89
ORD-112527,2021-01-27,US,Canada,CAN,Consumer,Office Supplies,Storage,5,0.1,603.15,-2.95
ORD-119000,2021-01-27,APAC,Singapore,SGP,Home Office,Furniture,Bookcases,5,0.0,2247.5,170.2
ORD-114346,2021-01-27,APAC,Australia,AUS,Consumer,Office Supplies,Paper,4,0.0,128.88,26.24
ORD-113606,2021-01-27,LATAM,Mexico,MEX,Corporate,Furniture,Furnishings,3,0.3,351.78,-48.65
ORD-102939,2021-01-27,US,United States,USA,Home Office,Office Supplies,Binders,6,0.0,40.32,7.42
ORD-108692,2021-01-27,US,United States,USA,Consumer,Technology,Accessories,2,0.3,551.66,-4.5
ORD-111768,2021-01-28,Europe,Spain,ESP,Consumer,Furniture,Bookcases,2,0.0,1488.66,44.96
ORD-115946,2021-01-28,US,United States,USA,Corporate,Technology,Accessories,3,0.1,746.82,155.32
ORD-111889,2021-01-28,Africa,South Africa,ZAF,Home Office,Technology,Copiers,2,0.3,2144.92,-86.14
ORD-102957,2021-01-28,US,Canada,CAN,Consumer,Office Supplies,Art,3,0.4,20.88,-2.28
ORD-118492,2021-01-28,LATAM,Brazil,BRA,Corporate,Office Supplies,Appliances,6,0.1,996.9,-99.64
